,Url,harga_SKU,nama_SKU,stock
0,https://rajasusu.com/pediasure-madu-200gr,69500,Pediasure Madu 200Gr,Product Out of Stock
1,https://rajasusu.com/pediasure-vanila-850-gr,245000,Pediasure Vanila 850 Gr,Product Available
2,https://rajasusu.com/nutrilon-royal-3-vanila-800-gr,169500,Nutrilon Royal 3 Vanila 800 Gr,Product Available
